id,artist,album,title,duration,albumCover
1,Khruangbin,Mordechai,Time (You and I),5:42,img/cd.jpg
2,FKJ,FKJ,Instant Need,4:10,img/cd.jpg
3,Tom Misch,Geography,Movie,5:37,img/cd.jpg
4,Bonobo,The North Borders,First Fires,4:41,img/cd.jpg
5,Cigarettes After Sex,Cigarettes After Sex,Nothing's Gonna Hurt You Baby,4:51,img/cd.jpg
6,ODESZA,In Return,Sun Models,2:48,img/cd.jpg
7,Joji,Ballads 1,Slow Dancing in the Dark,3:30,img/cd.jpg
8,Angus & Julia Stone,Down the Way,Big Jet Plane,3:43,img/cd.jpg
9,RÜFÜS DU SOL,Bloom,Innerbloom,9:38,img/cd.jpg
10,M83,"Hurry Up, We're Dreaming",Wait,5:43,img/cd.jpg
11,The xx,Coexist,Angels,2:51,img/cd.jpg
12,Lord Huron,Lonesome Dreams,Ends of the Earth,4:44,img/cd.jpg
13,Rhye,Women,Open,3:38,img/cd.jpg
14,The Cinematic Orchestra,Every Day,To Build a Home,6:08,img/cd.jpg
15,HONNE,Warm on a Cold Night,Warm on a Cold Night,4:21,img/cd.jpg
16,James Blake,James Blake,The Wilhelm Scream,4:37,img/cd.jpg
17,Tame Impala,Currents,Yes I'm Changing,4:30,img/cd.jpg
18,Arctic Monkeys,AM,No. 1 Party Anthem,4:03,img/cd.jpg
19,Beirut,Gulag Orkestar,Scenic World,2:09,img/cd.jpg
20,Massive Attack,Mezzanine,Teardrop,5:31,img/cd.jpg
21,Men I Trust,Oncle Jazz,Numb,3:37,img/cd.jpg
22,Boards of Canada,Music Has the Right to Children,ROYGBIV,2:23,img/cd.jpg
23,Beach House,Bloom,Myth,4:18,img/cd.jpg
24,Lane 8,Brightest Lights,Sunday Song,4:09,img/cd.jpg
25,Mac DeMarco,Salad Days,Chamber of Reflection,3:51,img/cd.jpg
