id,artist,album,title,duration,albumCover
1,Adele,21,Someone Like You,4:45,img/cd.jpg
2,Billie Eilish,"When We All Fall Asleep, Where Do We Go?",When the Party's Over,3:16,img/cd.jpg
3,Lewis Capaldi,Divinely Uninspired to a Hellish Extent,Someone You Loved,3:02,img/cd.jpg
4,Damien Rice,O,The Blower's Daughter,4:44,img/cd.jpg
5,Sam Smith,In the Lonely Hour,Stay With Me,2:52,img/cd.jpg
6,Radiohead,OK Computer,No Surprises,3:48,img/cd.jpg
7,Coldplay,Ghost Stories,Fix You,4:55,img/cd.jpg
8,Bon Iver,"For Emma, Forever Ago",Skinny Love,3:58,img/cd.jpg
9,Sinead O'Connor,I Do Not Want What I Haven't Got,Nothing Compares 2 U,5:10,img/cd.jpg
10,Jeff Buckley,Grace,Hallelujah,6:53,img/cd.jpg
11,Amy Winehouse,Back to Black,Back to Black,4:01,img/cd.jpg
12,James Blunt,Back to Bedlam,Goodbye My Lover,4:18,img/cd.jpg
13,Lana Del Rey,Born to Die,Born to Die,4:46,img/cd.jpg
14,The Fray,How to Save a Life,How to Save a Life,4:23,img/cd.jpg
15,Ed Sheeran,+,Give Me Love,5:26,img/cd.jpg
16,Kodaline,In a Perfect World,All I Want,5:05,img/cd.jpg
17,A Great Big World,Is There Anybody Out There?,Say Something,3:49,img/cd.jpg
18,Passenger,All the Little Lights,Let Her Go,4:12,img/cd.jpg
19,Alicia Keys,The Diary of Alicia Keys,If I Ain't Got You,3:48,img/cd.jpg
20,Johnny Cash,American IV: The Man Comes Around,Hurt,3:38,img/cd.jpg
21,Phoebe Bridgers,Punisher,Motion Sickness,3:51,img/cd.jpg
22,Lord Huron,Strange Trails,The Night We Met,3:29,img/cd.jpg
23,The National,Boxer,Fake Empire,3:25,img/cd.jpg
24,Taylor Swift,Red,All Too Well,5:29,img/cd.jpg
25,Sufjan Stevens,Carrie & Lowell,Fourth of July,4:38,img/cd.jpg
